matrix;cell_type;time_minutes;with_standards;replicate_nr;hcys;hcys;cyst;cyst;cys;met;met;sam;sam;sah;sah
;;;;;0;4;0;4;0;0;4;0;4;0;4
Cells;BJ-TERT;5;0;1;144;4461;6368;;2746;1647;179;988;102;1011;112
Cells;BJ-TERT;5;0;2;151;4372;10022;;2187;1442;296;1598;161;1266;190
Cells;BJ-RAS;5;0;1;179;6807;2980;;3750;1639;325;7500;490;2800;289
Cells;BJ-RAS;5;0;2;130;5657;2998;;3439;1919;458;6310;405;2802;316
Cells;BJ-TERT;15;0;1;146;4406;11877;;2968;1919;281;1127;262;1041;295
Cells;BJ-TERT;15;0;2;;4690;13057;;2692;2001;218;1596;311;1152;358
Cells;BJ-RAS;15;0;1;132;5822;3002;;3857;1992;393;8619;1030;2689;473
Cells;BJ-RAS;15;0;2;114;7127;3889;;4083;1881;435;9505;1311;3294;682
Cells;BJ-TERT;30;0;1;120;5069;13992;211;3352;2885;383;1593;438;736;406
Cells;BJ-TERT;30;0;2;120;5419;14972;186;3556;2078;354;1605;418;664;378
Cells;BJ-RAS;30;0;1;181;6741;3185;110;5077;4022;640;10590;2632;1581;473
Cells;BJ-RAS;30;0;2;214;9414;3459;63.9;4873;2271;439;11018;3122;1244;533
Cells;BJ-TERT;60;0;1;135;4152;11133;383;2795;2344;319;1126;395;522;436
Cells;BJ-TERT;60;0;2;157;4115;10165;342;2613;2066;276;871;382;557;535
Cells;BJ-RAS;60;0;1;175;4955;3425;192;3806;1993;621;13587;6676;1214;648
Cells;BJ-RAS;60;0;2;192;6094;2973;174;4782;2654;687;9532;4612;1137;747
Cells;BJ-TERT;300;0;1;;3169;3923;2120;2092;1579;806;659;475;453;801
Cells;BJ-TERT;300;0;2;;3122;3718;2370;2273;1738;686;571;424;438;885
Cells;BJ-RAS;300;0;1;173;4756;1378;1080;3632;1579;1114;4922;5580;1348;1775
Cells;BJ-RAS;300;0;2;161;5484;1255;1030;3660;963;1009;4239;5051;1679;1988
Cells;BJ-TERT;1440;0;1;;3183;1085;10000;1903;2103;1239;1746;1857;962;1806
Cells;BJ-TERT;1440;0;2;;3577;1670;15200;1854;1869;1096;2359;2664;1155;2092
Cells;BJ-RAS;1440;0;1;;5465;1303;6650;4484;935;1459;5706;12109;1305;3465
Cells;BJ-RAS;1440;0;2;;5481;1404;6910;3723;844;1249;6300;11763;1466;3982
Cells;BJ-TERT;1440;1;1;2527;2664;28253;7940;3059;13822;1108;4927;2367;5458;1419
Cells;BJ-TERT;1440;1;2;3016;3377;33784;7780;3659;12927;893;4868;1764;5449;1368
Cells;BJ-RAS;1440;1;1;3204;5989;51743;6800;5212;9951;1197;13495;11735;10100;3928
Cells;BJ-RAS;1440;1;2;3939;6934;51244;7230;6033;8921;980;13108;12375;9590;3643
Medium;BJ-TERT;1440;0;1;12004;1140147;442;171;256141;2430;3412;;;;
Medium;BJ-TERT;1440;0;2;10328;1097588;548;269;248778;1875;2445;;;;
Medium;BJ-RAS;1440;0;1;9314;1024777;421;126;223524;1053;2453;128;;;
Medium;BJ-RAS;1440;0;2;8788;1024821;385;136;232684;1088;2721;95;;;
Medium;BJ-TERT;1440;1;1;284187;1157012;519;223;438739;166369;3142;;;;
Medium;BJ-TERT;1440;1;2;327123;1166555;425;186;463316;190343;2505;;;;
Medium;BJ-RAS;1440;1;1;280941;1074144;396;109;419367;172906;2305;152;;;
Medium;BJ-RAS;1440;1;2;282184;1078775;394;97.8;414929;169940;2196;139;;;
Medium;none;1440;0;1;1724;1182429;353;;282968;2040;281;;;;
Medium;none;1440;1;1;270661;1210724;316;;459727;154209;293;;;;
Medium;none;0;0;1;1478;1135557;409;;273621;2035;275;;;;
